V_out [mV],	V_in [mv],	Phase [°],	Freq. [Hz]

22.3,	2.05,	0.4,	1
22.3,	2.05,	0.4,	10
22.3,	2.05,	0.4,	100
22.3,	2.05,	-1,	500
22.3,	2.05,	-1.4,	1000
22.3,	2.05,	-2.2,	3000
22.1,	2.05,	-4,	7000
21.9,	2.05,	-8.2,	10000
21.9,	2.05,	-9.8,	11000
21.9,	2.05,	-11.9,	12000
21.9,	2.05,	-14.3,	13000
21.9,	2.05,	-16.8,	14E3
21.5,	2.05,	-19.7,	15E3
21.3,	2.05,	-22,	16E3
20.9,	2.05,	-25.7,	17E3
20.2,	2.05,	-30.2,	18E3
19.5,	2.05,	-33,	19E3
18.9,	2.05,	-35,	20E3
18.1,	2.05,	-37,	21E3
17.4,	2.05,	-40,	22E3
16.9,	2.05,	-42,	23E3
16.1,	2.05,	-45,	24E3
15.7,	2.05,	-47,	25E3
15.1,	2.05,	-50,	
